user_id,user_age,user_tier,cart_value,category,coupon_type,discount_amt,loyalty_pts_used,used_offer,final_price,purchased
U00000,56,Free,2480.0,Home,bank_offer,316.0,0,1,2164.0,True
U00001,46,Silver,1800.0,Grocery,bank_offer,263.0,150,1,1387.0,True
U00002,32,Free,2490.0,Fashion,loyalty_discount,380.0,0,1,2110.0,True
U00003,60,Silver,2640.0,Beauty,bank_offer,497.0,100,1,2043.0,True
U00004,25,Free,2920.0,Home,none,0.0,0,0,2920.0,False
U00005,38,Free,1420.0,Beauty,store_coupon,348.0,0,1,1072.0,True
U00006,56,Free,3760.0,Beauty,bank_offer,517.0,50,1,3193.0,False
U00007,36,Free,1710.0,Grocery,loyalty_discount,114.0,0,0,1596.0,False
U00008,40,Free,1120.0,Electronics,none,0.0,0,0,1120.0,False
U00009,28,Free,1940.0,Home,none,0.0,0,0,1940.0,False
U00010,28,Silver,1680.0,Fashion,loyalty_discount,367.0,150,1,1163.0,False
U00011,41,Free,1430.0,Fashion,none,0.0,0,0,1430.0,False
U00012,53,Gold,1850.0,Electronics,loyalty_discount,331.0,400,1,1119.0,True
U00013,57,Free,2440.0,Electronics,none,0.0,0,0,2440.0,False
U00014,41,Silver,2070.0,Grocery,none,0.0,100,0,1970.0,False
U00015,20,Free,3080.0,Fashion,none,0.0,0,0,3080.0,False
U00016,39,Free,1720.0,Home,none,0.0,0,0,1720.0,False
U00017,19,Free,2140.0,Electronics,loyalty_discount,471.0,0,1,1669.0,True
U00018,41,Free,2000.0,Electronics,bank_offer,194.0,50,0,1756.0,False
U00019,47,Silver,3800.0,Electronics,none,0.0,150,0,3650.0,False
U00020,55,Free,1200.0,Home,loyalty_discount,192.0,50,1,958.0,False
U00021,19,Free,1440.0,Fashion,loyalty_discount,172.0,0,1,1268.0,True
U00022,38,Silver,4160.0,Home,loyalty_discount,681.0,50,1,3429.0,True
U00023,50,Free,1650.0,Home,bank_offer,149.0,0,0,1501.0,True
U00024,29,Silver,960.0,Grocery,store_coupon,107.0,150,1,703.0,True
U00025,39,Free,4000.0,Electronics,loyalty_discount,460.0,0,1,3540.0,False
U00026,42,Silver,1230.0,Fashion,loyalty_discount,306.0,50,1,874.0,True
U00027,44,Free,1880.0,Grocery,loyalty_discount,415.0,50,1,1415.0,True
U00028,59,Free,2780.0,Grocery,bank_offer,605.0,0,1,2175.0,False
U00029,45,Free,2590.0,Beauty,none,0.0,0,0,2590.0,True
U00030,33,Gold,1270.0,Electronics,bank_offer,182.0,500,1,588.0,True
U00031,32,Free,4700.0,Fashion,loyalty_discount,301.0,0,0,4399.0,False
U00032,20,Free,2230.0,Fashion,store_coupon,200.0,0,0,2030.0,False
U00033,54,Silver,1780.0,Fashion,loyalty_discount,408.0,100,1,1272.0,True
U00034,24,Gold,1210.0,Electronics,none,0.0,500,0,710.0,True
U00035,38,Silver,2190.0,Fashion,store_coupon,542.0,0,1,1648.0,False
U00036,26,Gold,3300.0,Home,store_coupon,556.0,200,1,2544.0,True
U00037,56,Free,1610.0,Home,bank_offer,202.0,0,1,1408.0,False
U00038,35,Free,900.0,Electronics,bank_offer,94.0,0,1,806.0,True
U00039,21,Silver,1360.0,Fashion,none,0.0,50,0,1310.0,False
U00040,42,Silver,1580.0,Beauty,bank_offer,196.0,100,1,1284.0,False
U00041,31,Free,980.0,Beauty,none,0.0,0,0,980.0,True
U00042,26,Free,2230.0,Beauty,store_coupon,236.0,0,1,1994.0,True
U00043,43,Silver,2430.0,Home,store_coupon,435.0,100,1,1895.0,True
U00044,19,Free,1360.0,Beauty,store_coupon,104.0,0,0,1256.0,False
U00045,37,Free,2530.0,Fashion,none,0.0,50,0,2480.0,True
U00046,45,Free,1250.0,Fashion,bank_offer,177.0,0,1,1073.0,True
U00047,24,Free,1060.0,Beauty,bank_offer,71.0,50,0,939.0,False
U00048,25,Silver,1190.0,Grocery,bank_offer,153.0,150,1,887.0,True
U00049,52,Free,1300.0,Beauty,loyalty_discount,149.0,0,1,1151.0,True
U00050,31,Silver,2480.0,Grocery,store_coupon,318.0,0,1,2162.0,False
U00051,34,Free,2260.0,Electronics,store_coupon,333.0,0,1,1927.0,True
U00052,53,Free,1250.0,Electronics,loyalty_discount,109.0,50,0,1091.0,False
U00053,57,Silver,1380.0,Fashion,store_coupon,191.0,100,1,1089.0,True
U00054,21,Free,3670.0,Home,store_coupon,449.0,50,1,3171.0,True
U00055,19,Free,2510.0,Fashion,loyalty_discount,525.0,0,1,1985.0,True
U00056,23,Free,1030.0,Fashion,store_coupon,195.0,0,1,835.0,True
U00057,59,Free,3070.0,Home,bank_offer,689.0,50,1,2331.0,True
U00058,21,Free,4460.0,Fashion,loyalty_discount,820.0,50,1,3590.0,True
U00059,46,Silver,1790.0,Home,store_coupon,133.0,100,0,1557.0,False
U00060,35,Silver,1600.0,Fashion,bank_offer,242.0,0,1,1358.0,True
U00061,43,Silver,1520.0,Electronics,none,0.0,50,0,1470.0,False
U00062,51,Free,1600.0,Grocery,store_coupon,349.0,0,1,1251.0,True
U00063,27,Free,2460.0,Fashion,loyalty_discount,212.0,50,0,2198.0,True
U00064,53,Free,1400.0,Grocery,bank_offer,133.0,50,0,1217.0,True
U00065,31,Free,2460.0,Beauty,none,0.0,0,0,2460.0,False
U00066,48,Free,1810.0,Fashion,none,0.0,50,0,1760.0,True
U00067,32,Free,1430.0,Electronics,store_coupon,201.0,50,1,1179.0,False
U00068,25,Gold,2090.0,Home,none,0.0,100,0,1990.0,True
U00069,31,Free,1660.0,Electronics,loyalty_discount,141.0,0,0,1519.0,False
U00070,40,Free,1400.0,Grocery,none,0.0,0,0,1400.0,False
U00071,57,Silver,1790.0,Home,store_coupon,379.0,0,1,1411.0,True
U00072,38,Free,1800.0,Electronics,none,0.0,0,0,1800.0,False
U00073,33,Silver,1490.0,Electronics,store_coupon,84.0,100,0,1306.0,False
U00074,35,Silver,1310.0,Electronics,none,0.0,0,0,1310.0,False
U00075,41,Gold,1870.0,Home,bank_offer,128.0,500,0,1242.0,False
U00076,43,Free,1960.0,Electronics,store_coupon,477.0,0,1,1483.0,True
U00077,42,Silver,2120.0,Electronics,loyalty_discount,310.0,50,1,1760.0,False
U00078,58,Free,2090.0,Grocery,loyalty_discount,429.0,0,1,1661.0,True
U00079,46,Silver,3060.0,Electronics,none,0.0,150,0,2910.0,False
U00080,32,Free,1170.0,Electronics,bank_offer,281.0,0,1,889.0,True
U00081,18,Free,3410.0,Beauty,none,0.0,0,0,3410.0,False
U00082,42,Free,1060.0,Home,none,0.0,0,0,1060.0,False
U00083,24,Free,2980.0,Beauty,bank_offer,437.0,50,1,2493.0,True
U00084,26,Silver,2210.0,Grocery,store_coupon,333.0,150,1,1727.0,True
U00085,41,Silver,1470.0,Beauty,loyalty_discount,126.0,100,0,1244.0,True
U00086,18,Silver,690.0,Fashion,bank_offer,159.0,100,1,431.0,False
U00087,25,Free,990.0,Home,none,0.0,50,0,940.0,False
U00088,41,Silver,1400.0,Electronics,store_coupon,94.0,150,0,1156.0,False
U00089,28,Free,2160.0,Beauty,none,0.0,0,0,2160.0,False
U00090,34,Silver,1460.0,Beauty,store_coupon,223.0,150,1,1087.0,True
U00091,25,Gold,1780.0,Electronics,loyalty_discount,403.0,500,1,877.0,True
U00092,52,Free,1520.0,Electronics,loyalty_discount,267.0,0,1,1253.0,True
U00093,52,Silver,1930.0,Grocery,store_coupon,179.0,150,0,1601.0,True
U00094,50,Free,1040.0,Beauty,loyalty_discount,114.0,50,1,876.0,True
U00095,22,Free,1630.0,Beauty,none,0.0,50,0,1580.0,False
U00096,59,Free,2230.0,Fashion,store_coupon,135.0,0,0,2095.0,False
U00097,56,Free,4970.0,Fashion,none,0.0,0,0,4970.0,True
U00098,58,Silver,2530.0,Beauty,store_coupon,585.0,100,1,1845.0,True
U00099,45,Free,1680.0,Fashion,none,0.0,0,0,1680.0,False
U00100,24,Free,1400.0,Beauty,loyalty_discount,334.0,0,1,1066.0,True
U00101,26,Free,2170.0,Home,bank_offer,175.0,0,0,1995.0,False
U00102,25,Silver,1290.0,Grocery,none,0.0,100,0,1190.0,False
U00103,29,Gold,1920.0,Fashion,store_coupon,178.0,400,0,1342.0,True
U00104,51,Silver,2050.0,Beauty,loyalty_discount,326.0,100,1,1624.0,False
U00105,50,Silver,1670.0,Fashion,store_coupon,247.0,0,1,1423.0,True
U00106,40,Free,2670.0,Grocery,none,0.0,50,0,2620.0,False
U00107,41,Free,1740.0,Home,store_coupon,180.0,0,1,1560.0,True
U00108,54,Free,1510.0,Electronics,store_coupon,311.0,0,1,1199.0,True
U00109,52,Free,1470.0,Electronics,none,0.0,0,0,1470.0,False
U00110,57,Silver,1080.0,Fashion,loyalty_discount,260.0,100,1,720.0,False
U00111,39,Free,1020.0,Beauty,loyalty_discount,154.0,0,1,866.0,False
U00112,44,Silver,2300.0,Grocery,none,0.0,150,0,2150.0,True
U00113,52,Free,3270.0,Home,loyalty_discount,754.0,0,1,2516.0,True
